idx,prompt,label_text,label,original_label,group,group_text,top1,topk_set,avgk_set,conformal_marginal_set,conformal_conditional_set,corr_ans_text,topk_text,avgk_text,conformal_marginal_text,conformal_conditional_text,prompt_original
40,"Originally from Texas, Eric earned his PhD in geography from the University of South Carolina.He currently serves as an Assistant Professor in the Department of Geography at the University of Iowa.",Professor,0,21,1,Male,0,1 4 0 ,0 ,0 ,4 0 ,The best answer is 0. Professor.,1. Physician  4. Psychologist  0. Professor,0. Professor,0. Professor,4. Psychologist  0. Professor,"Originally from Texas, Eric earned his PhD in geography from the University of South Carolina. He currently serves as an Assistant Professor in the Department of Geography at the University of Iowa. His research lies at the nexus of natural hazards and society, with particular focus on vulnerability and resilience indicators, built environment loss estimation, assessment of uncertainty, and geospatial modeling. He teaches courses on environmental justice, environmental hazards, water resources, and sustainability indicators. Outside of academia, Eric enjoys spending time with his wife and two kids, visiting national parks, and playing tennis. Peter Teahen"
202,"He has had professional experience with both modern and baroque bassoon and has been active in orchestral and chamber music in Australasia, California and London, as well as participating in numerous Kronach symposia. Medical travel has often been enhanced by side-trips to music libraries. email :Email",Physician,1,19,1,Male,5,5 7 0 ,5 0 ,4 5 7 0 ,5 7 0 ,The best answer is 1. Physician.,5. Teacher  7. Surgeon  0. Professor,5. Teacher  0. Professor,4. Psychologist  5. Teacher  7. Surgeon  0. Professor,5. Teacher  7. Surgeon  0. Professor,"He has had professional experience with both modern and baroque bassoon and has been active in orchestral and chamber music in Australasia, California and London, as well as participating in numerous Kronach symposia. Medical travel has often been enhanced by side-trips to music libraries. email :[Email]"
460,"He later joined with Spider-man's abandoned black symbiote suit because of their mutual hatred of Parker to become the super villain, Venom. As Venom, Brock has most of Spider-man's abilities albeit with much greater strength and a more monstrous appearance.",Photographer,2,18,1,Male,9,3 7 9 ,3 7 9 ,3 7 9 ,7 9 ,The best answer is 2. Photographer.,3. Journalist  7. Surgeon  9. Model,3. Journalist  7. Surgeon  9. Model,3. Journalist  7. Surgeon  9. Model,7. Surgeon  9. Model,"He later joined with Spider-man's abandoned black symbiote suit because of their mutual hatred of Parker to become the super villain, Venom. As Venom, Brock has most of Spider-man's abilities albeit with much greater strength and a more monstrous appearance."
606,"He is also a regular columnist for Front Page Magazine, the Israel National News and a senior intelligence analyst and communications director for the Northeast Intelligence Network. He can be reached at :Email This article comes from the IsraCampus Organization, which monitors Israel's academic fifth column and follows anti-Israel extremism on the Israeli campus. It is archived at",Journalist,3,11,1,Male,3,3 5 0 ,3 ,3 ,3 ,The best answer is 3. Journalist.,3. Journalist  5. Teacher  0. Professor,3. Journalist,3. Journalist,3. Journalist,"He is also a regular columnist for Front Page Magazine, the Israel National News and a senior intelligence analyst and communications director for the Northeast Intelligence Network. He can be reached at :[Email] This article comes from the IsraCampus Organization, which monitors Israel's academic fifth column and follows anti-Israel extremism on the Israeli campus. It is archived at"
815,"Hannah and her husband Chris travel the world themselves via a series of house swaps, hotel and long term rental stays. Get in touch with Hannah through Twitter @loveplayworkUK or on Facebook.",Psychologist,4,22,0,Female,2,2 3 5 ,2 3 5 ,2 3 ,2 3 5 ,The best answer is 4. Psychologist.,2. Photographer  3. Journalist  5. Teacher,2. Photographer  3. Journalist  5. Teacher,2. Photographer  3. Journalist,2. Photographer  3. Journalist  5. Teacher,"Hannah and her husband Chris travel the world themselves via a series of house swaps, hotel and long term rental stays. Get in touch with Hannah through Twitter @loveplayworkUK or on Facebook."
1194,"Wendy has been a consultant for the acrylic paint company, Derivan, since 2000. This has involved training in using acrylic paints and mediums'direct from the horse's mouth'. She teaches painting in acrylics, and sketching en plein air. Wendy enjoys sketching, painting and printmaking. She makes solar plate etchings from her sketches. She also likes playing with her Gelli plate.",Teacher,5,26,0,Female,8,2 5 8 ,8 ,8 ,8 ,The best answer is 5. Teacher.,2. Photographer  5. Teacher  8. Painter,8. Painter,8. Painter,8. Painter,"Wendy has been a consultant for the acrylic paint company, Derivan, since 2000. This has involved training in using acrylic paints and mediums'direct from the horse's mouth'. She teaches painting in acrylics, and sketching en plein air. Wendy enjoys sketching, painting and printmaking. She makes solar plate etchings from her sketches. She also likes playing with her Gelli plate."
1260,"Dr. Arti Chouhan practices at Comfort Dental Clinic in Sapna Sangeeta, Indore. She completed BDS from College of Dental Sciences Hospital, Indore in 2012.",Dentist,6,6,0,Female,6,1 6 7 ,6 ,1 6 ,6 ,The best answer is 6. Dentist.,1. Physician  6. Dentist  7. Surgeon,6. Dentist,1. Physician  6. Dentist,6. Dentist,"Dr. Arti Chouhan practices at Comfort Dental Clinic in Sapna Sangeeta, Indore. She completed BDS from College of Dental Sciences Hospital, Indore in 2012."
1454,"Dr. Nimit Dhruva practices at 32 Smiling Pearls in Ghatkopar East, Mumbai. He completed BDS from Yerala Medical Trust Research Centres Dental College Hospital in 2008.",Surgeon,7,25,1,Male,6,1 6 7 ,6 ,6 ,6 ,The best answer is 7. Surgeon.,1. Physician  6. Dentist  7. Surgeon,6. Dentist,6. Dentist,6. Dentist,"Dr. Nimit Dhruva practices at 32 Smiling Pearls in Ghatkopar East, Mumbai. He completed BDS from Yerala Medical Trust Research Centres Dental College Hospital in 2008."
1641,"She was born in Paris in 1970.She paints and writes as she breathes since her childhood, and she developped a true passion for art which has become her umbilical cord to the world.However, she was forced into another professional branch as she studied languages in order to become a trilingual translator.It nevertheless satisfied her taste for traveling and meeting people.",Painter,8,14,0,Female,9,5 8 9 ,5 8 9 ,3 5 8 9 ,5 8 9 ,The best answer is 8. Painter.,5. Teacher  8. Painter  9. Model,5. Teacher  8. Painter  9. Model,3. Journalist  5. Teacher  8. Painter  9. Model,5. Teacher  8. Painter  9. Model,"She was born in Paris in 1970. She paints and writes as she breathes since her childhood, and she developped a true passion for art which has become her umbilical cord to the world. However, she was forced into another professional branch as she studied languages in order to become a trilingual translator. It nevertheless satisfied her taste for traveling and meeting people. Meanwhile, she still kept up her two vital passions. In 1996, Marie Hermance... View more : Marie Hermance"
1945,"At the age of 19, Ms. Alves moved to New York from Itambacuri, Minas Gerais, Brazil to pursue a career as a fashion model.After working for four years as a house-cleaner and waitress, she successfully learned English and decided to make the United States her home.",Model,9,12,0,Female,9,2 3 9 ,9 ,9 ,9 ,The best answer is 9. Model.,2. Photographer  3. Journalist  9. Model,9. Model,9. Model,9. Model,"At the age of 19, Ms. Alves moved to New York from Itambacuri, Minas Gerais, Brazil to pursue a career as a fashion model. After working for four years as a house-cleaner and waitress, she successfully learned English and decided to make the United States her home. She and her artist-designer mother design the Muxo line of handbags, which were conceived after experimenting for three years with styles and designs."
