idx,prompt,label_text,label,original_label,group,group_text,top1,topk_set,avgk_set,conformal_marginal_set,conformal_conditional_set,corr_ans_text,topk_text,avgk_text,conformal_marginal_text,conformal_conditional_text
31,images/ravdess_subset/Actor_22/03-01-01-01-02-02-22.wav,Neutral,1,0,1,Female,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
3,images/ravdess_subset/Actor_18/03-01-02-02-02-01-18.wav,Calm,2,1,1,Female,2,1 2 4,1 2,1 2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,2. Calm
338,images/ravdess_subset/Actor_03/03-01-03-02-02-01-03.wav,Happy,3,2,0,Male,6,3 4 6,3 6,3 4 6,3 4 6,The best answer is 3. Happy.,3. Happy  4. Sad  6. Fearful,3. Happy  6. Fearful,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful
132,images/ravdess_subset/Actor_02/03-01-04-02-02-01-02.wav,Sad,4,3,1,Female,4,2 4 7,2 4,2 4,2 4,The best answer is 4. Sad.,2. Calm  4. Sad  7. Disgust,2. Calm  4. Sad,2. Calm  4. Sad,2. Calm  4. Sad
334,images/ravdess_subset/Actor_15/03-01-05-01-01-01-15.wav,Angry,5,4,0,Male,5,5 7 8,5,5,5,The best answer is 5. Angry.,5. Angry  7. Disgust  8. Surprised,5. Angry,5. Angry,5. Angry
49,images/ravdess_subset/Actor_17/03-01-06-01-02-01-17.wav,Fearful,6,5,0,Male,4,3 4 6,3 4 6,3 4 6,3 4 6,The best answer is 6. Fearful.,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful
359,images/ravdess_subset/Actor_24/03-01-07-02-02-01-24.wav,Disgust,7,6,1,Female,7,2 5 7,7,7,7,The best answer is 7. Disgust.,2. Calm  5. Angry  7. Disgust,7. Disgust,7. Disgust,7. Disgust
41,images/ravdess_subset/Actor_20/03-01-08-01-01-02-20.wav,Surprised,8,7,1,Female,8,3 6 8,3 6 8,3 6 8,3 6 8,The best answer is 8. Surprised.,3. Happy  6. Fearful  8. Surprised,3. Happy  6. Fearful  8. Surprised,3. Happy  6. Fearful  8. Surprised,3. Happy  6. Fearful  8. Surprised
150,images/ravdess_subset/Actor_01/03-01-01-01-02-01-01.wav,Neutral,1,0,0,Male,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
40,images/ravdess_subset/Actor_03/03-01-02-02-01-02-03.wav,Calm,2,1,0,Male,2,1 2 4,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,1. Neutral  2. Calm
342,images/ravdess_subset/Actor_22/03-01-03-02-02-01-22.wav,Happy,3,2,1,Female,8,3 5 8,3 5 6 8,3 5 8,3 5 8,The best answer is 3. Happy.,3. Happy  5. Angry  8. Surprised,3. Happy  5. Angry  6. Fearful  8. Surprised,3. Happy  5. Angry  8. Surprised,3. Happy  5. Angry  8. Surprised
140,images/ravdess_subset/Actor_22/03-01-04-01-02-02-22.wav,Sad,4,3,1,Female,2,1 2 4,2,2,2,The best answer is 4. Sad.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,2. Calm
336,images/ravdess_subset/Actor_21/03-01-05-02-02-01-21.wav,Angry,5,4,0,Male,5,3 5 7,5,5,5,The best answer is 5. Angry.,3. Happy  5. Angry  7. Disgust,5. Angry,5. Angry,5. Angry
36,images/ravdess_subset/Actor_05/03-01-06-02-01-02-05.wav,Fearful,6,5,0,Male,6,3 5 6,3 6,3 5 6,3 5 6,The best answer is 6. Fearful.,3. Happy  5. Angry  6. Fearful,3. Happy  6. Fearful,3. Happy  5. Angry  6. Fearful,3. Happy  5. Angry  6. Fearful
324,images/ravdess_subset/Actor_13/03-01-07-01-02-01-13.wav,Disgust,7,6,0,Male,2,2 4 7,2 7,2 7,2 7,The best answer is 7. Disgust.,2. Calm  4. Sad  7. Disgust,2. Calm  7. Disgust,2. Calm  7. Disgust,2. Calm  7. Disgust
348,images/ravdess_subset/Actor_08/03-01-08-02-02-01-08.wav,Surprised,8,7,1,Female,8,3 5 8,8,3 8,8,The best answer is 8. Surprised.,3. Happy  5. Angry  8. Surprised,8. Surprised,3. Happy  8. Surprised,8. Surprised
258,images/ravdess_subset/Actor_10/03-01-01-01-01-01-10.wav,Neutral,1,0,1,Female,1,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
