idx,prompt,label_text,label,original_label,group,group_text,top1,topk_set,avgk_set,conformal_marginal_set,conformal_conditional_set,corr_ans_text,topk_text,avgk_text,conformal_marginal_text,conformal_conditional_text
1251,data/facet/images/imgs_2/sa_5464072.jpg,Backpacker,1,0,3,Unknown,16,3 11 16,11 16,3 6 11 16,3 6 11 16,The best answer is 1. Backpacker.,3. Computer User  11. Laborer  16. Salesperson,11. Laborer  16. Salesperson,3. Computer User  6. Guard  11. Laborer  16. Salesperson,3. Computer User  6. Guard  11. Laborer  16. Salesperson
334,data/facet/images/imgs_2/sa_3328077.jpg,Boatman,2,1,1,Middle,2,1 2 11,2,2,2,The best answer is 2. Boatman.,1. Backpacker  2. Boatman  11. Laborer,2. Boatman,2. Boatman,2. Boatman
424,data/facet/images/imgs_2/sa_10230206.jpg,Computer User,3,2,3,Unknown,3,3 6 13,3 6 10 11 13 19,3 6 10 13,3 6 10 13,The best answer is 3. Computer User.,3. Computer User  6. Guard  13. Motorcyclist,3. Computer User  6. Guard  10. Horse Rider  11. Laborer  13. Motorcyclist  19. Speaker,3. Computer User  6. Guard  10. Horse Rider  13. Motorcyclist,3. Computer User  6. Guard  10. Horse Rider  13. Motorcyclist
46,data/facet/images/imgs_2/sa_6774732.jpg,Craftsman,4,3,3,Unknown,11,4 11 15,4 11 15,4 11 15,4 11 15,The best answer is 4. Craftsman.,4. Craftsman  11. Laborer  15. Repairman,4. Craftsman  11. Laborer  15. Repairman,4. Craftsman  11. Laborer  15. Repairman,4. Craftsman  11. Laborer  15. Repairman
51,data/facet/images/imgs_2/sa_3441141.jpg,Farmer,5,4,1,Middle,5,1 5 11,5 11,5 11,5 11,The best answer is 5. Farmer.,1. Backpacker  5. Farmer  11. Laborer,5. Farmer  11. Laborer,5. Farmer  11. Laborer,5. Farmer  11. Laborer
561,data/facet/images/imgs_3/sa_2133120.jpg,Guard,6,5,1,Middle,6,6 12 13,6 12,6 12 13,6 11 12 13,The best answer is 6. Guard.,6. Guard  12. Officer  13. Motorcyclist,6. Guard  12. Officer,6. Guard  12. Officer  13. Motorcyclist,6. Guard  11. Laborer  12. Officer  13. Motorcyclist
1307,data/facet/images/imgs_3/sa_223393.jpg,Guitarist,7,6,1,Middle,7,1 7 17,1 7 11 15 17,1 7 15 17,1 7 15 17,The best answer is 7. Guitarist.,1. Backpacker  7. Guitarist  17. Singer,1. Backpacker  7. Guitarist  11. Laborer  15. Repairman  17. Singer,1. Backpacker  7. Guitarist  15. Repairman  17. Singer,1. Backpacker  7. Guitarist  15. Repairman  17. Singer
33,data/facet/images/imgs_3/sa_11156222.jpg,Gymnast,8,7,0,Younger,8,6 8 20,8,8,8,The best answer is 8. Gymnast.,6. Guard  8. Gymnast  20. Tennis Player,8. Gymnast,8. Gymnast,8. Gymnast
819,data/facet/images/imgs_3/sa_6210745.jpg,Hairdresser,9,8,1,Middle,9,4 9 11,9,9,9,The best answer is 9. Hairdresser.,4. Craftsman  9. Hairdresser  11. Laborer,9. Hairdresser,9. Hairdresser,9. Hairdresser
1142,data/facet/images/imgs_3/sa_10310193.jpg,Horse Rider,10,9,2,Older,10,3 8 10,10,10,3 8 10 12 20,The best answer is 10. Horse Rider.,3. Computer User  8. Gymnast  10. Horse Rider,10. Horse Rider,10. Horse Rider,3. Computer User  8. Gymnast  10. Horse Rider  12. Officer  20. Tennis Player
619,data/facet/images/imgs_2/sa_1926606.jpg,Laborer,11,10,3,Unknown,11,5 11 16,5 11 16,5 11 16,5 11 16,The best answer is 11. Laborer.,5. Farmer  11. Laborer  16. Salesperson,5. Farmer  11. Laborer  16. Salesperson,5. Farmer  11. Laborer  16. Salesperson,5. Farmer  11. Laborer  16. Salesperson
981,data/facet/images/imgs_1/sa_8103739.jpg,Officer,12,11,3,Unknown,11,11 13 16,4 6 11 13 15 16,4 11 13 16,4 11 13 16,The best answer is 12. Officer.,11. Laborer  13. Motorcyclist  16. Salesperson,4. Craftsman  6. Guard  11. Laborer  13. Motorcyclist  15. Repairman  16. Salesperson,4. Craftsman  11. Laborer  13. Motorcyclist  16. Salesperson,4. Craftsman  11. Laborer  13. Motorcyclist  16. Salesperson
472,data/facet/images/imgs_2/sa_3174098.jpg,Motorcyclist,13,12,3,Unknown,13,1 10 13,13,13,13,The best answer is 13. Motorcyclist.,1. Backpacker  10. Horse Rider  13. Motorcyclist,13. Motorcyclist,13. Motorcyclist,13. Motorcyclist
360,data/facet/images/imgs_2/sa_8126786.jpg,Painter,14,13,1,Middle,14,11 14 16,11 14 16,4 11 14 16,4 11 14 16,The best answer is 14. Painter.,11. Laborer  14. Painter  16. Salesperson,11. Laborer  14. Painter  16. Salesperson,4. Craftsman  11. Laborer  14. Painter  16. Salesperson,4. Craftsman  11. Laborer  14. Painter  16. Salesperson
492,data/facet/images/imgs_2/sa_2751388.jpg,Repairman,15,14,0,Younger,16,1 15 16,1 3 11 15 16,1 11 15 16,1 11 15 16,The best answer is 15. Repairman.,1. Backpacker  15. Repairman  16. Salesperson,1. Backpacker  3. Computer User  11. Laborer  15. Repairman  16. Salesperson,1. Backpacker  11. Laborer  15. Repairman  16. Salesperson,1. Backpacker  11. Laborer  15. Repairman  16. Salesperson
994,data/facet/images/imgs_2/sa_4413267.jpg,Salesperson,16,15,2,Older,16,6 11 16,16,16,4 6 11 16,The best answer is 16. Salesperson.,6. Guard  11. Laborer  16. Salesperson,16. Salesperson,16. Salesperson,4. Craftsman  6. Guard  11. Laborer  16. Salesperson
